event_name,ACC_OWNERSHIP,ACC_MM_ACCOUNT,ACC_MOBILE_PEN,ACC_INTERNET_PEN,USG_P2P_COUNT,USG_DIGITAL_PAYMENT,USG_ACTIVE_RATE,AFF_GDP_PCAP,AFF_URBAN_RATE
Telebirr Launch,0,0,0,0,0,0,0,0,0
Safaricom Ethiopia Commercial Launch,0,0,0,0,0,0,0,0,0
M-Pesa Ethiopia Launch,0,0,0,0,0,0,0,0,0
Fayda Digital ID Program Rollout,0,0,0,0,0,0,0,0,0
Foreign Exchange Liberalization,0,0,0,0,0,0,0,0,0
M-Pesa EthSwitch Integration,0,0,0,0,0,0,0,0,0
EthioPay Instant Payment System Launch,0,0,0,0,0,0,0,0,0
Safaricom Ethiopia Price Increase,0,0,0,0,0,0,0,0,0
COVID-19 Digital Finance Acceleration,0,0,0,0,0,0,0,0,0
EthSwitch Establishment,0,0,0,0,0,0,0,0,0
NFIS-I Launch,0,0,0,0,0,0,0,0,0
